# build=19a077b date=2026-09-04T00:35Z host=debian13-16vcpu runtime=podman cpus=16 workers=8 arena_mb=128 keys=20000 nbase=100000 val=200 reps=3 mtu=9000 cpuset_srv=none cpuset_cli=none mems_srv=none dialects=resp,json,bin nat_secs=5 nat_lat=1 cli_threads=8 n_max=4000000 base=debian redis_img=redis:8 route=1
arm	clients	pipeline	set_rps	get_rps	set_p50ms	get_p50ms	set_p99ms	get_p99ms
redis	1	1	13912	14411	0.063	0.055	0.111	0.111
redis	4	1	49975	57110	0.063	0.063	0.135	0.119
redis	16	1	74963	74981	0.191	0.183	0.391	0.343
redis	50	1	84140	84157	0.543	0.527	1.079	1.023
redis	200	1	88711	84122	2.039	2.207	4.455	4.247
redis	500	1	72608	76075	6.495	6.223	10.335	11.951
redis	1000	1	59154	61444	15.871	15.327	26.239	21.823
redis	50	8	426099	440893	0.831	0.807	1.695	1.615
redis	50	16	591628	638978	1.151	1.111	2.255	2.175
redis	50	64	839983	938526	3.423	3.295	4.807	5.255
perfcached-solo	1	1	16013	15980	0.055	0.055	0.095	0.103
perfcached-solo	4	1	57110	57110	0.055	0.055	0.095	0.095
perfcached-solo	16	1	199867	171331	0.055	0.063	0.175	0.183
perfcached-solo	50	1	266489	266489	0.087	0.087	0.751	0.735
perfcached-solo	200	1	319234	319489	0.239	0.247	3.135	3.047
perfcached-solo	500	1	398804	398406	0.575	0.543	2.015	1.639
perfcached-solo	1000	1	397614	397614	1.175	1.135	5.079	2.551
perfcached-solo	50	8	1596806	1599200	0.135	0.127	1.095	1.007
perfcached-solo	50	16	1774623	2283105	0.255	0.167	1.583	1.239
perfcached-solo	50	64	2661344	3194888	0.879	0.431	3.535	1.311
perfcached-solo-json	1	1	14261	13501	0.065	0.069	0.126	0.128
perfcached-solo-json	4	1	56189	56125	0.068	0.067	0.114	0.120
perfcached-solo-json	16	1	209482	183413	0.066	0.074	0.157	0.199
perfcached-solo-json	50	1	317585	300167	0.102	0.112	0.791	0.777
perfcached-solo-json	200	1	393284	359502	0.294	0.323	3.564	3.907
perfcached-solo-json	500	1	421280	386289	0.764	0.846	5.427	5.762
perfcached-solo-json	1000	1	458575	387700	1.583	1.808	6.284	7.964
perfcached-solo-json	50	8	1309645	1217339	0.239	0.264	0.889	0.905
perfcached-solo-json	50	16	1509330	1403266	0.443	0.488	1.291	1.410
perfcached-solo-json	50	64	1710085	1652130	1.588	1.735	5.808	5.084
perfcached-solo-bin	1	1	14170	14815	0.066	0.062	0.131	0.126
perfcached-solo-bin	4	1	58284	59352	0.065	0.064	0.122	0.118
perfcached-solo-bin	16	1	190947	197818	0.067	0.069	0.240	0.180
perfcached-solo-bin	50	1	302477	301224	0.099	0.101	0.826	0.850
perfcached-solo-bin	200	1	395793	396620	0.285	0.287	3.746	3.558
perfcached-solo-bin	500	1	419030	430036	0.753	0.721	5.481	5.474
perfcached-solo-bin	1000	1	472617	478667	1.504	1.428	6.297	6.550
perfcached-solo-bin	50	8	1533149	1614569	0.187	0.169	0.958	1.032
perfcached-solo-bin	50	16	1995715	2555560	0.326	0.250	1.017	0.795
perfcached-solo-bin	50	64	2340004	3562040	1.136	0.732	3.484	2.298
perfcached-store	1	1	15557	15083	0.055	0.055	0.103	0.111
perfcached-store	4	1	57110	49975	0.055	0.063	0.103	0.111
perfcached-store	16	1	171233	199867	0.063	0.063	0.223	0.167
perfcached-store	50	1	266312	228441	0.095	0.103	0.863	0.823
perfcached-store	200	1	318979	319489	0.271	0.271	3.199	1.743
