# build=2db7baf date=2026-09-04T00:05Z host=debian13-16vcpu cpus=16 workers=4 keys=20000 reqs=100000xP nmax=2000000 val=200 reps=3
arm	clients	pipeline	set_rps	get_rps	set_p50ms	get_p50ms	set_p99ms	get_p99ms
redis	1	1	13866	14059	0.063	0.063	0.111	0.111
redis	4	1	58548	60938	0.039	0.047	0.127	0.111
redis	16	1	68027	67889	0.127	0.127	0.295	0.255
redis	50	1	65660	64103	0.415	0.391	0.887	0.943
redis	200	1	65488	61350	1.479	1.559	3.007	2.887
redis	500	1	56338	53220	4.191	4.607	8.519	8.023
redis	1000	1	47619	51975	10.615	9.615	15.463	12.551
redis	50	8	392349	460299	0.727	0.591	1.631	1.295
redis	50	16	570410	665834	1.119	0.975	2.095	1.815
redis	50	64	845666	1087548	3.295	2.575	6.023	3.695
perf1	1	1	14622	15344	0.063	0.055	0.111	0.103
perf1	4	1	54615	53533	0.055	0.055	0.103	0.095
perf1	16	1	51680	57703	0.167	0.151	0.311	0.263
perf1	50	1	64935	63492	0.399	0.407	0.599	0.623
perf1	200	1	65660	62775	1.527	1.591	2.343	2.327
perf1	500	1	54201	53022	4.527	4.559	7.295	8.623
perf1	1000	1	49579	42159	10.207	11.775	15.351	19.679
perf1	50	8	416017	453772	0.487	0.455	0.855	0.767
perf1	50	16	758653	773694	0.535	0.527	0.903	0.911
perf1	50	64	1860465	1819836	0.927	0.855	2.375	1.351
perf1c	1	1	15860	15342	0.055	0.055	0.103	0.103
perf1c	4	1	57405	51387	0.055	0.055	0.095	0.103
perf1c	16	1	60938	58140	0.143	0.151	0.255	0.263
perf1c	50	1	60132	65189	0.423	0.399	0.679	0.551
perf1c	200	1	63371	58651	1.567	1.679	2.839	2.831
perf1c	500	1	51787	57045	4.759	4.343	9.287	8.583
perf1c	1000	1	47687	49383	10.575	10.071	14.863	18.031
perf1c	50	8	454287	431499	0.455	0.463	0.759	0.831
perf1c	50	16	763359	769231	0.535	0.527	0.871	0.839
perf1c	50	64	1943634	1915709	0.871	0.855	3.023	1.255
perf3-store	1	1	15768	15015	0.055	0.055	0.103	0.111
