# date=2026-09-17T20:44:23+10:00 perfcached=perfcached 0.4.0-rc3 (7253754) redis=8.10.1 reps=2 secs=8 workers=4 server_cpus=0-7 driver_rps=ff arms=pc redis cells=all publish_on=A payload=64B
# roles: A publishes (perfcached node / Redis master), B subscribes, the driver runs rpsbench -H A -B B
arm	cell	rep	pub_s	deliv_s	p50_us	p99_us	p999_us	lost	gaps	eof	drain_s	a_cores	b_cores	b_tx_mbit	b_tx_pkts_s	driver_softirq_cores	drv_cores	busiest_thr	relay_sent	relay_recv	relay_lost	queue_dropped	bus_publish_sent	bus_publish_received	b_clients_max_outbuf	b_outbuf_disconnects
pc	s1-paced20k	1	19999	20000	504	816	3264	0	0	0	0.00	0.96	0.41	19	7921	0.12	0.52	0.17	180008	180008	0	0	0	0	0	0
pc	s1-max	1	196401	192631	736	1632	7680	33865	33865	0	1.01	2.81	1.69	156	33354	0.15	0.85	0.54	1772192	1738327	33865	0	0	0	0	0
pc	s64-paced20k	1	20000	1278655	1120	14848	50176	10880	10880	0	1.00	1.08	2.92	1067	265445	0.92	3.17	0.61	180012	179842	170	0	0	0	0	0
pc	s64-max	1	97493	6215981	3136	151552	200704	183552	183552	0	1.00	1.65	3.68	4475	215684	0.79	3.16	0.66	851232	848364	2868	0	0	0	0	0
redis	s1-paced20k	1	20000	19999	640	1008	1248	0	0	0	0.00	0.65	0.31	19	9000	0.06	0.47	0.18	0	0	0	0	180008	180008	0	0
redis	s1-max	1	123748	56243	2686976	4849664	4849664	600892	0	0	1.13	1.06	0.60	49	12555	0.02	0.28	0.10	0	0	0	0	1120864	1120864	33483032	1
redis	s64-paced20k	1	20001	1280057	1248	2432	3904	0	0	0	0.00	0.62	0.94	983	97972	0.54	2.01	0.35	0	0	0	0	180016	180016	0	0
redis	s64-max	1	153376	1880392	7602176	7995392	7995392	72312870	20779726	0	1.23	0.97	1.08	1745	8422	0.16	0.63	0.11	0	0	0	0	1371632	456059	26265624	0
redis	s1-paced20k	2	20000	20000	640	1008	1664	0	0	0	0.00	0.63	0.30	19	8726	0.04	0.44	0.16	0	0	0	0	180008	180008	0	0
redis	s1-max	2	143418	65911	2686976	4718592	4718592	685904	0	0	1.03	1.07	0.68	56	15010	0.05	0.35	0.14	0	0	0	0	1275648	955357	33565048	1
redis	s64-paced20k	2	20000	1280017	1472	2816	6400	0	0	0	0.04	0.68	0.94	968	65388	0.47	1.86	0.32	0	0	0	0	180016	180016	0	0
redis	s64-max	2	163610	740310	8388608	8388608	8388608	71469248	71469248	0	3.19	0.98	1.10	1493	6881	0.18	0.40	0.12	0	0	0	0	1445504	360205	32519344	0
pc	s1-paced20k	2	20002	20002	480	784	992	0	0	0	0.00	0.99	0.40	18	6718	0.05	0.37	0.13	180008	180008	0	0	0	0	0	0
pc	s1-max	2	191451	183752	848	120832	126976	61611	61611	0	1.01	2.74	1.79	148	29489	0.13	0.80	0.48	1723856	1662245	61611	0	0	0	0	0
pc	s64-paced20k	2	19999	1256712	1376	19968	30208	187584	187584	0	1.01	0.99	2.97	1046	276143	0.86	3.36	0.66	180016	177085	2931	0	0	0	0	0
pc	s64-max	2	102686	6258009	6272	212992	258048	3238912	3238912	0	1.07	1.59	3.57	4546	208883	0.92	3.34	0.66	983152	932544	50604	0	0	0	0	0
