stamp	rev	rep	mode	K	P	mix	route	ops_s	p50_ms	p99_ms	p999_ms	client_cores	server_cores	server_cores_max	hits	route_missed	fwd_sent	pull_sent	pull_served	spread_not_held	clients
20260916-031823	e58ee8e	1	eager	0	3	set100	0	2389495	1.989	7.621	11.611	6.10	16.20	5.64	0	0	0	0	0	0	6
20260916-031823	e58ee8e	1	eager	0	3	get100	0	4492391	0.794	5.205	10.470	9.00	13.34	4.45	135590528	0	0	0	0	0	6
20260916-031823	e58ee8e	1	eager	0	3	get90	0	3809147	1.038	4.827	7.717	8.10	14.06	4.91	103474884	0	0	0	0	0	6
20260916-031823	e58ee8e	1	spread	2	3	set100	0	2349983	1.657	7.700	10.993	5.90	15.95	5.36	0	0	0	0	0	23512589	6
20260916-031823	e58ee8e	1	spread	2	3	set100	1	2594918	1.667	6.907	9.829	6.60	16.23	5.54	0	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	2	3	get100	0	421324	1.281	54.432	65.535	7.00	11.75	3.89	12711969	0	0	4238429	4238429	0	6
20260916-031823	e58ee8e	1	spread	2	3	get100	1	4861393	0.806	3.113	6.064	10.00	13.66	4.80	145962016	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	2	3	get90	0	461368	1.119	52.056	65.535	7.00	11.91	3.92	12529734	0	0	4179993	4179993	464064	6
20260916-031823	e58ee8e	1	spread	2	3	get90	1	4166614	1.008	3.055	5.380	8.90	14.36	5.04	112562375	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	3	3	set100	0	2174382	2.085	7.107	10.012	5.40	16.04	5.40	0	0	0	0	0	0	6
20260916-031823	e58ee8e	1	spread	3	3	set100	1	2187140	1.954	8.092	13.211	5.60	16.25	5.43	0	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	3	3	get100	0	4610235	0.829	5.919	11.814	9.10	13.63	4.56	139105888	0	0	0	0	0	6
20260916-031823	e58ee8e	1	spread	3	3	get100	1	4717883	0.875	3.107	5.325	9.90	13.82	4.76	141633472	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	3	3	get90	0	3705865	1.120	3.861	6.308	7.70	14.00	4.43	100680691	0	0	0	0	0	6
20260916-031823	e58ee8e	1	spread	3	3	get90	1	4028625	0.938	3.528	5.942	8.70	14.61	5.11	108854601	0	0	0	0	0	2
20260916-031823	e58ee8e	1	eager	0	6	set100	0	1388762	2.993	10.516	15.707	3.30	16.04	2.69	0	0	0	0	0	0	12
20260916-031823	e58ee8e	1	eager	0	6	get100	0	3890955	1.097	3.976	6.813	8.20	11.55	2.02	117333856	0	0	0	0	0	12
20260916-031823	e58ee8e	1	eager	0	6	get90	0	3131291	1.791	5.029	7.028	7.00	13.49	2.30	84976860	0	0	0	0	0	12
20260916-031823	e58ee8e	1	spread	2	6	set100	0	1795719	2.424	8.772	14.063	4.70	15.03	2.52	0	0	0	0	0	36013775	12
20260916-031823	e58ee8e	1	spread	2	6	set100	1	2025948	1.798	6.753	10.046	5.30	14.14	2.33	0	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	2	6	get100	0	410984	7.152	47.854	65.535	6.00	13.50	2.30	12383373	0	0	8262439	8262439	0	12
20260916-031823	e58ee8e	1	spread	2	6	get100	1	3712341	1.022	2.892	4.503	7.90	10.65	1.95	111452288	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	2	6	get90	0	431687	5.839	51.510	65.535	6.20	13.92	2.34	11710748	0	0	7810364	7810364	867701	12
20260916-031823	e58ee8e	1	spread	2	6	get90	1	3304442	1.157	3.510	5.402	7.40	12.16	2.13	89282692	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	3	6	set100	0	1542718	2.479	9.451	14.868	4.10	15.49	2.69	0	0	0	0	0	23235334	12
20260916-031823	e58ee8e	1	spread	3	6	set100	1	1682223	2.578	9.679	15.806	4.50	15.30	2.62	0	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	3	6	get100	0	524823	4.455	44.935	65.535	6.40	13.52	2.25	15817757	0	0	7912365	7912365	0	12
20260916-031823	e58ee8e	1	spread	3	6	get100	1	4227240	0.968	2.886	4.543	9.10	11.50	1.83	126928096	0	0	0	0	0	2
20260916-031823	e58ee8e	1	spread	3	6	get90	0	557324	3.561	51.777	65.535	6.40	13.89	2.27	15119098	0	0	7556579	7556579	840919	12
20260916-031823	e58ee8e	1	spread	3	6	get90	1	3545071	1.176	3.320	4.965	7.80	13.04	2.22	95794684	0	0	0	0	0	2
