stamp	rev	rep	mode	K	P	mix	route	ops_s	p50_ms	p99_ms	p999_ms	client_cores	server_cores	server_cores_max	hits	route_missed	fwd_sent	pull_sent	pull_served	spread_not_held	clients
20260915-194929	286eb22	1	eager	0	3	set100	0	1840666	1.050	2.329	3.828	5.00	14.99	5.23	0	0	0	0	0	0	3
20260915-194929	286eb22	1	eager	0	3	get100	0	2767853	0.578	1.844	2.642	6.00	9.99	3.74	83589568	0	0	0	0	0	3
20260915-194929	286eb22	1	eager	0	3	get90	0	2597594	0.656	1.711	2.620	5.80	11.73	3.78	70591087	0	0	0	0	0	3
20260915-194929	286eb22	1	spread	2	3	set100	0	1922369	0.989	2.478	3.590	4.90	15.11	5.19	0	0	0	0	0	19316916	3
20260915-194929	286eb22	1	spread	2	3	set100	1	2076313	0.823	2.387	4.026	5.50	15.32	5.60	0	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	2	3	get100	0	326459	1.745	41.970	57.792	4.30	11.60	3.72	9856118	0	0	3281820	3281820	0	3
20260915-194929	286eb22	1	spread	2	3	get100	1	3358474	0.495	1.265	1.722	7.40	11.80	4.28	100845664	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	2	3	get90	0	341000	1.150	46.441	65.535	4.40	11.60	3.92	9276723	0	0	3091958	3091958	343992	3
20260915-194929	286eb22	1	spread	2	3	get90	1	2969219	0.543	1.528	2.364	7.10	12.22	4.73	80240817	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	3	3	set100	0	1790089	1.014	3.050	4.904	4.70	15.51	5.18	0	0	0	0	0	0	3
20260915-194929	286eb22	1	spread	3	3	set100	1	1820602	1.053	2.455	3.862	5.00	15.44	5.60	0	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	3	3	get100	0	2770466	0.568	2.069	3.059	5.90	10.04	3.28	83734048	0	0	0	0	0	3
20260915-194929	286eb22	1	spread	3	3	get100	1	3094083	0.516	2.072	3.898	7.20	10.88	4.07	92919616	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	3	3	get90	0	2620008	0.618	1.676	2.500	5.80	12.01	3.95	71268944	0	0	0	0	0	3
20260915-194929	286eb22	1	spread	3	3	get90	1	2769813	0.603	1.605	2.242	7.00	11.85	4.60	74845826	0	0	0	0	0	1
20260915-194929	286eb22	1	eager	0	6	set100	0	1108653	1.689	4.722	6.490	3.20	15.96	2.84	0	0	0	0	0	0	6
20260915-194929	286eb22	1	eager	0	6	get100	0	2784624	0.865	2.038	2.965	6.00	10.11	1.69	84032256	0	0	0	0	0	6
20260915-194929	286eb22	1	eager	0	6	get90	0	2334901	0.729	1.944	2.603	5.40	12.57	2.07	63405746	0	0	0	0	0	6
20260915-194929	286eb22	1	spread	2	6	set100	0	1578785	1.223	3.267	4.478	4.50	15.11	2.66	0	0	0	0	0	31697539	6
20260915-194929	286eb22	1	spread	2	6	set100	1	1762179	0.968	2.975	4.197	4.80	14.30	2.41	0	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	2	6	get100	0	312682	4.387	34.189	65.535	3.60	13.59	2.30	9434624	0	0	6292664	6292664	0	6
20260915-194929	286eb22	1	spread	2	6	get100	1	2939490	0.537	1.871	2.472	6.90	9.97	2.00	88248576	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	2	6	get90	0	346691	3.829	29.537	65.535	3.70	14.10	2.38	9417399	0	0	6278391	6278391	698740	6
20260915-194929	286eb22	1	spread	2	6	get90	1	2521578	0.663	2.072	3.067	6.50	10.78	2.15	68137160	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	3	6	set100	0	1376228	1.143	4.945	7.589	4.20	15.94	2.62	0	0	0	0	0	20751743	6
20260915-194929	286eb22	1	spread	3	6	set100	1	1482578	1.141	3.754	5.098	4.50	15.58	2.75	0	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	3	6	get100	0	278262	6.675	36.427	65.535	4.10	12.08	1.97	8394840	0	0	4198487	4198487	0	6
20260915-194929	286eb22	1	spread	3	6	get100	1	2772821	0.551	2.214	3.420	6.90	9.82	2.00	83279552	0	0	0	0	0	1
20260915-194929	286eb22	1	spread	3	6	get90	0	331064	5.175	39.164	65.535	4.10	12.88	2.18	8992341	0	0	4499194	4499194	498712	6
20260915-194929	286eb22	1	spread	3	6	get90	1	2472367	0.656	2.073	3.022	6.90	11.36	2.23	66849281	0	0	0	0	0	1
20260915-205115	f86bc2d	1	spread	2	3	get100	1	4248438	1.000	2.933	4.403	9.80	14.39	4.99	127574816	0	0	0	0	0	2
20260915-205115	f86bc2d	1	spread	3	3	get100	1	4295880	1.010	3.149	4.339	9.80	14.60	5.01	129013664	0	0	0	0	0	2
20260915-205115	f86bc2d	1	spread	2	6	get100	1	3601756	1.036	3.762	4.761	8.70	12.07	2.01	108151488	0	0	0	0	0	2
20260915-205115	f86bc2d	1	spread	3	6	get100	1	3688891	1.122	3.477	5.086	8.80	12.13	2.03	110751840	0	0	0	0	0	2
